,Variable,Return on Investment,Account Type
0,Sales_Contact_2,$6.62,Private Facility
1,Marketing_Channel_Flyer,$4.11,Medium Facility
2,Sales_Contact_2,$3.58,Medium Facility
3,Sales_Contact_1,$3.14,Medium Facility
4,Sales_Contact_3,$2.12,Medium Facility
5,Sales_Contact_1,$11.67,Large Facility 
6,Sales_Contact_4,$10.61,Large Facility 
7,Sales_Contact_2,$4.00,Large Facility 
8,Marketing_Channel_Flyer,$2.72,Large Facility 
9,Sales_Contact_3,$2.03,Large Facility 
10,Marketing_Channel_Phone,$-3.54,Large Facility 
11,Sales_Contact_2,$0.81,Small Facility 
12,Marketing_Channel_Phone,$-0.00,Small Facility 
